district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,AD023 1-1RZ 안전한산책로#1 (난향동 산105-11),37.4589,126.9174,1,1,2022.0,12.0,,서울,관악구,105,11,,,서울 관악구 신림동 산 105-11
관악구,AD024 1-1RZ 안전한산책로#4 (난향동 산102-7),37.4582,126.9215,1,1,2022.0,12.0,,서울,관악구,1735,,,,서울 관악구 신림동 1735
관악구,AD026 1-1R 선우공원#04 (미성동 산 117-20),37.4676,126.9135,1,1,2022.0,12.0,,서울,관악구,117,23,,,서울 관악구 신림동 산 117-23
관악구,AD025 1-1RZ 안전한산책로#5 (난향동 1735-12),37.4593,126.9223,1,1,2022.0,12.0,,서울,관악구,1735,,,,서울 관악구 신림동 1735
관악구,AD027 1-1R 관악산공원 (인헌동 산 29-4),37.4683,126.9638,1,1,2022.0,12.0,,서울,관악구,29,4,,,서울 관악구 봉천동 산 29-4
관악구,"AD028 1-1RZ 장군봉근린공원 (청룡동 1531-38, 봉림중학교 후문앞)",37.4816,126.9381,1,1,2022.0,12.0,,서울,관악구,1531,38,,,서울 관악구 봉천동 1531-38
관악구,"AD029 1-1RZ 낙성대공원 (낙성대동 232-2, 반려견놀이터)",37.4708,126.9592,1,1,2022.0,12.0,,서울,관악구,232,2,,,서울 관악구 봉천동 232-2
관악구,"AD030 1-1RZ 대학동 210, 화장실입구",37.468,126.9455,1,1,2022.0,12.0,,서울,관악구,210,,,,서울 관악구 신림동 210
관악구,"AD032 1-1R 청룡동 산 151-139, 장군봉 근린공원",37.4796,126.9375,1,1,2022.0,12.0,,서울,관악구,151,139,,,서울 관악구 봉천동 산 151-139
관악구,"AD033 1-1RZ  남현동 1068-31, 신앙촌상회 앞",37.4753,126.9764,1,1,2022.0,12.0,,서울,관악구,1068,31,,,서울 관악구 남현동 1068-31
관악구,"AD036 1-1RZ 미성동 1707-1, 호림박물관 옆 등산로길",37.4801,126.9189,1,1,2022.0,12.0,,서울,관악구,1707,2,,,서울 관악구 신림동 1707-2
